player,team,color,date,rating
ZywOo,Vitality,#ffd166,2020-09-17,1.2858
ZywOo,Vitality,#ffd166,2020-09-24,1.2811
ZywOo,Vitality,#ffd166,2020-10-01,1.2860
ZywOo,Vitality,#ffd166,2020-10-08,1.2896
ZywOo,Vitality,#ffd166,2020-10-15,1.2994
ZywOo,Vitality,#ffd166,2020-10-22,1.3025
ZywOo,Vitality,#ffd166,2020-10-29,1.2918
ZywOo,Vitality,#ffd166,2020-11-05,1.2779
ZywOo,Vitality,#ffd166,2020-11-12,1.2850
ZywOo,Vitality,#ffd166,2020-11-19,1.2799
ZywOo,Vitality,#ffd166,2020-11-26,1.2720
ZywOo,Vitality,#ffd166,2020-12-03,1.2720
ZywOo,Vitality,#ffd166,2020-12-10,1.2633
ZywOo,Vitality,#ffd166,2020-12-17,1.2625
ZywOo,Vitality,#ffd166,2020-12-24,1.2643
ZywOo,Vitality,#ffd166,2020-12-31,1.2607
ZywOo,Vitality,#ffd166,2021-01-07,1.2586
ZywOo,Vitality,#ffd166,2021-01-14,1.2709
ZywOo,Vitality,#ffd166,2021-01-21,1.2756
ZywOo,Vitality,#ffd166,2021-01-28,1.2823
ZywOo,Vitality,#ffd166,2021-02-04,1.2989
ZywOo,Vitality,#ffd166,2021-02-11,1.2890
ZywOo,Vitality,#ffd166,2021-02-18,1.2991
ZywOo,Vitality,#ffd166,2021-02-25,1.3103
ZywOo,Vitality,#ffd166,2021-03-04,1.3150
ZywOo,Vitality,#ffd166,2021-03-11,1.3091
ZywOo,Vitality,#ffd166,2021-03-18,1.3216
ZywOo,Vitality,#ffd166,2021-03-25,1.3037
ZywOo,Vitality,#ffd166,2021-04-01,1.2971
ZywOo,Vitality,#ffd166,2021-04-08,1.3030
ZywOo,Vitality,#ffd166,2021-04-15,1.2866
ZywOo,Vitality,#ffd166,2021-04-22,1.2803
ZywOo,Vitality,#ffd166,2021-04-29,1.2780
ZywOo,Vitality,#ffd166,2021-05-06,1.2670
ZywOo,Vitality,#ffd166,2021-05-13,1.2796
ZywOo,Vitality,#ffd166,2021-05-20,1.2774
ZywOo,Vitality,#ffd166,2021-05-27,1.2715
ZywOo,Vitality,#ffd166,2021-06-03,1.2751
ZywOo,Vitality,#ffd166,2021-06-10,1.2824
ZywOo,Vitality,#ffd166,2021-06-17,1.2725
