x,1,2,3
0.15905,0.84095,0.98732,0.99933
0.16005,0.83994,0.98716,0.99931
0.16105,0.83894,0.98700,0.99930
0.16205,0.83793,0.98684,0.99928
0.16305,0.83692,0.98668,0.99927
0.16405,0.83591,0.98652,0.99926
0.16506,0.83492,0.98636,0.99924
0.16606,0.83393,0.98620,0.99923
0.16706,0.83294,0.98603,0.99921
0.16806,0.83194,0.98586,0.99920
0.16906,0.83095,0.98569,0.99918
0.17006,0.82997,0.98553,0.99917
0.17106,0.82896,0.98536,0.99915
0.17206,0.82797,0.98519,0.99914
0.17306,0.82698,0.98500,0.99912
0.17406,0.82598,0.98484,0.99911
0.17506,0.82495,0.98467,0.99909
0.17606,0.82394,0.98449,0.99908
0.17706,0.82294,0.98431,0.99906
0.17806,0.82195,0.98414,0.99905
0.17906,0.82095,0.98395,0.99903
0.18006,0.81996,0.98377,0.99901
0.18106,0.81896,0.98360,0.99900
0.18206,0.81795,0.98341,0.99898
0.18306,0.81697,0.98324,0.99897
0.18406,0.81595,0.98305,0.99895
0.18506,0.81496,0.98287,0.99893
0.18606,0.81395,0.98268,0.99892
0.18706,0.81296,0.98250,0.99890
0.18806,0.81197,0.98231,0.99888
0.18906,0.81098,0.98212,0.99886
0.19006,0.80998,0.98194,0.99885
0.19106,0.80896,0.98175,0.99883
0.19206,0.80796,0.98156,0.99881
0.19306,0.80696,0.98138,0.99879
0.19406,0.80596,0.98119,0.99878
0.19507,0.80497,0.98099,0.99876
0.19607,0.80397,0.98080,0.99874
0.19707,0.80297,0.98060,0.99872
0.19807,0.80198,0.98041,0.99870
0.19907,0.80098,0.98021,0.99868
0.20007,0.79997,0.98001,0.99866
0.20107,0.79899,0.97980,0.99864
0.20207,0.79800,0.97960,0.99862
0.20307,0.79697,0.97940,0.99860
0.20407,0.79597,0.97920,0.99858
0.20507,0.79499,0.97900,0.99855
0.20607,0.79399,0.97879,0.99853
0.20707,0.79298,0.97859,0.99851
0.20807,0.79199,0.97838,0.99849
0.20907,0.79099,0.97817,0.99847
0.21007,0.79000,0.97797,0.99844
0.21107,0.78901,0.97775,0.99842
0.21207,0.78799,0.97754,0.99840
0.21307,0.78700,0.97734,0.99838
0.21407,0.78599,0.97712,0.99836
0.21507,0.78499,0.97691,0.99833
0.21607,0.78399,0.97669,0.99831
0.21707,0.78298,0.97647,0.99829
